code,en,da,fr,it,de,nl,es,no,sv,tr,bg,cs,hu,pl,rm,ru,sk,jp
38,"Blowing snow",Sne,"Neige modérée","Raffiche di neve",Schneefall,"Matige sneeuw","Nieve moderada",Snøstorm,"Drivande snö","Savrulan kar","Снежна виелица","Snehová vánice",Hófúvás,"Opady sniegu","Zapada viscolita","Ветер со снегом","Vietor so snehom",吹雪
39,Blizzard,Snestorm,Blizzard,"Bufera di neve",Schneestürme,Sneeuwstormen,Ventiscas,"Kraftig snøstorm",Snöstorm,Tipi,"Гръмотевична буря",Blizard,Hóvihar,Zamiec,Viscol,Метель,"Snehová búrka",暴風雨
45,Fog,Tåge,Brouillard,Nebbia,Nebel,Mist,Niebla,Tåke,Dimma,Sis,Мъгла,Mlha,Köd,Mgla,Ceata,"Сильный туман",Hmla,霧
49,"Freezing fog","Stedvis rimtåge","Brouillard givrant","Nebbia ghiacciata","Gefrierende Nässe",Rijp,"Niebla helada discontinua",Iståke,Isdimma,"Donan sis","Мъгла със скреж","Mrznoucí mlha","Jeges köd","Marznaca mgla","Ceata care îngheata","Сильный туман и гололед","Mrznúca hmla",着氷性の霧
50,"Patchy light drizzle","Lokale lette regnbyger","Averses éparses","Possibilità di pioviggine sparsa","Leichte Regenschauer","Lichte buien","Chubascos ligeros aislados","Mulighet for spredt lett yr","Risk för spridda skurar av lätt duggregn","Yer yer hafif çisenti olasiligi","Вероятност за слабо ръмене","Ojedinele slabé mrholení","Elszórtan szitáló eso várható","Przelotna, lekka mzawka","Pe alocuri, posibile precipitatii sub forma de burnita","Местами возможен моросящий дождь","Možné slabé lokálne mrholenie",所々で弱い霧雨
51,"Light drizzle","Stedvis let regn","Quelques pluies",Pioviggine,"Gelegentlich Regen","Af en toe regen","Lluvia ligera aislada o llovizna","Lett yr","Lätt duggregn","Hafif çisenti","Слабо ръмене","Slabé mrholení","Szitáló eso","Lekka mzawka",Burnita,"Моросящий дождь","Slabé mrholenie",弱い霧雨
56,"Freezing drizzle","Let isslag","Brume givrante","Pioviggine ghiacciata","Leichter Schneeregen","Lichte natte sneeuw","Llovizna helada","Yr som fryser på bakken","Underkylt duggregn","Donan çisenti",Ръмене,"Mrznoucí mrholení","Jeges szitálás","Marznaca mzawka",Chiciura,"Дождь и гололед","Mrznúce mrholenie",着氷性の霧雨
57,"Heavy freezing drizzle","Let isslag","Brume givrante","Pioggia forte ghiacciata","Leichter Schneeregen","Lichte natte sneeuw","Llovizna helada","Tett yr som fryser på bakken","Kraftigt underkylt duggregn","Yogun donan çisenti","Силно ръмене","Silné mrznoucí mrholení","Jeges, suru eso","Ciezka marznaca mzawka","Chiciura densa","Сильный дождь и гололед","Silné mrznúce mrholenie",強い着氷性の霧雨
60,"Patchy light rain","Stedvis let regn","Quelques pluies","Possibilità di piogge deboli sparse","Gelegentlich Regen","Af en toe regen","Lluvia ligera aislada o llovizna","Mulighet for spredte lette regnbyger","Risk för spridda skurar av lätt regn","Yer yer hafif siddette yagmur olasiligi","Вероятност за слаби превалявания от дъжд","Ojedinele slabý déšt","Elszórtan enyhe eso várható","Przelotne lekkie opady deszczu","Pe alocuri, posibile precipitatii slabe sub forma de ploaie","Местами возможен моросящий дождь","Možný slabý lokálny dážd",所により弱い雨
61,"Light rain",Regn,"Pluie modérée","Pioggia debole",Regen,"Matige regen","Lluvia moderada","Lette regnbyger","Lätt regn","Hafif siddette yagmur","Слаб дъжд","Slabý déšt","Enyhe eso","Lekkie opady deszczu","Ploi slabe","Небольшой дождь","Slabý dážd",弱い雨
62,"Moderate rain at times",Regnbyger,"Averses modérées","Pioggia moderata a tratti",Regenschauer,"Matige buien","Chubascos moderados","Til tider moderate regnbyger","Tidvis måttligt regn","Zaman zaman orta siddette yagmur","Умерен дъжд на места","Obcasný mírný déšt","Idonként közepes erosségu eso","Umiarkowane opady deszczu przez czesc dnia","Ploi moderate intermitente","Временами дождь","Obcas mierny dážd",時々中程度の雨
63,"Moderate rain",Regn,"Pluie modérée","Pioggia moderata",Regen,"Matige regen","Lluvia moderada","Moderate regnbyger","Måttligt regn","Orta siddette yagmur","Умерен дъжд","Mírný déšt","Közepes erosségu eso","Umiarkowane opady deszczu","Ploi moderate",Дождь,"Mierny dážd",中程度の雨
64,"Heavy rain at times","Kraftige regnbyger","Fortes averses","Pioggia forte a tratti","Ergiebige Regensch.","Zware buien","Fuertes chubascos","Til tider kraftige regnbyger","Tidvis kraftigt regn","Zaman zaman siddetli yagmur","Силен дъжд на места","Obcasný silný déšt","Idonként heves eso","Silne opady deszczu przez czesc dnia","Ploi torentiale intermitente","Местами сильный дождь","Obcas silný dážd",時々大雨
65,"Heavy rain","Kraftigt regnvejr","Fortes pluies","Pioggia forte","Ergiebiger Regen","Zware regen","Fuertes lluvias","Kraftige regnbyger","Kraftigt regn","Siddetli yagmur","Силен дъжд","Silný déšt","Heves eso","Silne opady deszczu","Ploi torentiale","Сильный дождь","Silný dážd",大雨
66,"Light freezing rain",Isslag,"Pluie verglaçante","Gelicidio leggero",Schneeregen,"Natte sneeuw","Lluvia helada","Lett regn som fryser","Lätt underkylt regn","Hafif siddette donan yagmur","Слаба суграшица","Slabý mrznoucí déšt","Enyhe, jeges eso","Lekki, marznacy deszcz","Ploaie slaba care îngheata","Небольшой дождь и гололед","Slabý mrznúci dážd",軽い着氷性の雨
67,"Moderate or heavy freezing rain",Isslag,"Pluie verglaçante","Pioggia moderata o gelicidio forte",Schneeregen,"Natte sneeuw","Lluvia helada","Moderat eller kraftig regn som fryser","Måttligt eller kraftigt underkylt regn","Orta siddette veya siddetli donan yagmur","Умерена или силна суграшица","Mírný nebo silný mrznoucí déšt","Közepes erosségu vagy heves, jeges eso","Umiarkowane lub silne opady marznacego deszczu","Ploi moderate sau puternice care îngheata","Дождь/ливень и гололед","Mierny alebo silný mrznúci dážd",中程度または強い着氷性の雨
68,"Light sleet",Slud,Grêle,"Nevischio leggero",Schneeregen,"Matige natte sneeuw","Aguanieve moderada","Lett sludd","Lätt snöblandat regn","Hafif siddette sulu kar","Слаба лапавица","Slabý déšt se snehem","Enyhe hódara","Lekkie opady deszczu ze sniegiem","Lapovita slaba","Небольшой мокрый снег","Dážd so snehom",弱いみぞれ
69,"Moderate or heavy sleet","Kraftig slud","Forte grêle","Nevischio moderato o pesante","Ergiebiger Schneeregen","Zware natte sneeuw","Fuerte aguanieve","Moderat eller kraftig sludd","Måttligt eller kraftigt snöblandat regn","Orta siddette veya siddetli sulu kar","Умерена или силна лапавица","Mírný nebo silný déšt se snehem","Közepes erosségu vagy heves hódara","Umiarkowane lub silne opady deszczu ze sniegiem","Lapovita moderata sau puternica","Мокрый снег/сильный мокрый снег","Mierny alebo silný dážd so snehom",中程度または強いみぞれ
70,"Patchy light snow","Stedvis let sne","Flocons épars","Possibilità di neve a piccole falde sparsa","Geleg. Schneefall","Af en toe sneeuw","Ligera nieve aislada","Mulighet for spredte lette snøbyger","Risk för lätta snöbyar","Yer yer hafif siddette kar olasiligi","Вероятност за слаб снеговалеж на места","Ojedinele slabé snežení","Elszórtan enyhe havazás várható","Przelotne, lekkie opady sniegu","Pe alocuri, posibile precipitatii slabe sub forma de zapada","Местами возможен небольшой снег","Možné slabé lokálne sneženie",所により弱い雪
71,"Light snow","Stedvis let sne","Flocons épars","Neve a piccole falde","Geleg. Schneefall","Af en toe sneeuw","Ligera nieve aislada","Lette snøbyger","Lätt snöfall","Hafif siddette kar","Слаб сняг","Slabé snežení","Enyhe havazás","Lekkie opady sniegu","Zapada slaba","Небольшой снег","Slabé sneženie",弱い雪
72,"Patchy moderate snow",Sne,"Neige modérée","Possibilità di neve moderata sparsa",Schneefall,"Matige sneeuw","Nieve moderada","Mulighet for spredte moderate snøbyger","Risk för måttliga snöbyar","Yer yer orta siddette kar olasiligi","Вероятност за умерен снеговалеж на места","Ojedinele mírné snežení","Elszórtan közepes erosségu havazás várható","Przelotne, umiarkowane opada sniegu","Pe alocuri, posibile precipitatii moderate sub forma de zapada","Местами возможен снег","Možné mierne lokálne sneženie",所により中程度の雪
73,"Moderate snow",Sne,"Neige modérée","Neve moderata",Schneefall,"Matige sneeuw","Nieve moderada","Moderate snøbyger","Måttligt snöfall","Orta siddette kar","Умерен снеговалеж","Mírné snežení","Közepes erosségu havazás","Umiarkowane opady sniegu","Zapada moderata",Снег,"Mierne sneženie",中程度の雪
74,"Patchy heavy snow","Kraftige regnbyger","Fortes ch. de neige","Possibilità di neve a grandi falde sparsa","Ergiebige Schneesch. ","Zware sneeuwbuien","Fuertes chubascos de nieve","Mulighet for spredte kraftige snøbyger","Risk för spridda kraftiga snöbyar","Yer yer siddetli kar olasiligi","Вероятност за силен снеговалеж на места","Ojedinele silné snežení","Elszórtan heves havazás várható","Przelotne, ciezkie opady sniegu","Posibile precipitatii puternice sub forma de zapada","Местами возможен сильный снег","Možné silné lokálne sneženie",所により大雪
75,"Heavy snow","Kraftigt snevejr","Neige abondante","Neve a grandi falde","Ergiebiger Schneefall","Zware sneeuw","Fuerte nieve ","Kraftige snøbyger","Kraftigt snöfall","Siddetli kar","Силен снеговалеж","Silné snežení","Heves havazás","Silne opady sniegu","Zapada puternica","Сильный снег","Silné sneženie",大雪
79,"Ice pellets",Isslag,"Pluie verglaçante",Grandine,Schneeregen,"Natte sneeuw","Lluvia helada",Hagl,Hagel,"Buz taneleri",Градушка,"Zmrzlý déšt",Jégdara,Grad,"Granule de gheata","Ледяной дождь","Zmrznutý dážd",凍雨
80,"Light rain shower","Lokale lette regnbyger","Averses éparses","Breve rovescio di pioggia","Leichte Regenschauer","Lichte buien","Chubascos ligeros aislados","Lett regnbyge","Lätt regnskur","Hafif siddette saganak yagmur","Слаб проливен дъжд","Slabé deštové prehánky","Enyhe zivatar","Lekkie opady deszczu","Aversa slaba de ploaie","Кратковременные ливни","Slabá daždová prehánka",弱い雨
81,"Moderate or heavy rain shower",Regnbyger,"Averses modérées","Rovescio di pioggia moderato o nubifragio",Regenschauer,"Matige buien","Chubascos moderados","Moderat eller kraftig regnbyge","Måttlig eller kraftig regnskur","Orta siddette veya siddetli saganak yagmur","Умерен или силен проливен дъжд","Mírné nebo silné deštové prehánky","Közepes erosségu vagy heves zivatar","Umiarkowane lub silne opady deszczu","Averse de ploaie moderate sau puternice","Кратковременные дожди/ливни","Mierna alebo silná daždová prehánka",中程度または大雨
82,"Torrential rain shower","Kraftigt regnvejr","Pluies torrentielles","Pioggia torrenziale","Sehr starker Regen","Zeer zware regen","Muy fuertes lluvias","Svært kraftig regnbyge","Skyfallsliknande regnskur","Çok siddetli saganak yagmur","Пороен дъжд","Prutrž mracen","Zuhogó eso","Ulewne deszcze","Aversa de ploaie torentiala","Проливной дождь","Prehánka s prívalovým daždom",豪雨
83,"Light sleet showers",Sludbyger,"Averses de grêle","Nevischio leggero",Graupelschauer,"Matige natte sneeuwb","Chubascos de aguanieve moderados","Lette sluddbyger","Lätta skurar av snöblandat regn","Hafif siddette saganak sulu kar","Слаба продължителна лапавица","Slabé prehánky dešte se snehem","Enyhe daraeso","Lekkie opady deszczu ze sniegiem","Averse de lapovita slaba","Кратковременный мокрый снег","Slabé prehánky dažda so snehom",弱いみぞれ
84,"Moderate or heavy sleet showers",Sludbyger,"Fortes av. de grêle","Nevischio moderato o pesante","Ergiebige Graupelsch.","Zware natte sneeuwb","Fuertes chubascos de aguanieve","Moderate eller kraftige sluddbyger","Måttliga eller kraftiga skurar av snöblandat regn","Orta siddette veya siddetli saganak sulu kar","Умерена или силна продължителна лапавица","Mírné nebo silné prehánky dešte se snehem","Közepes erosségu vagy heves daraeso","Umiarkowane lub silne opady deszczu ze sniegiem","Averse de lapovita moderate sau puternice","Кратковременный мокрый снег/сильный мокрый снег","Mierne alebo silné prehánky dažda so snehom",中程度または強いみぞれ
85,"Light snow showers","Lokale lette snebyger","Ch. de neige éparses","Rovesci nevosi leggeri","Leichte Schneesch.","Lichte sneeuwbuien","Ligeros chubascos de nieve aislados","Lette snøbyger","Lätta snöbyar","Hafif siddette saganak kar","Слаб продължителен снеговалеж","Slabé snehové prehánky","Enyhe hózivatar","Lekkie opady sniegu","Averse de zapada slabe","Небольшой кратковременный снег","Slabé snehové prehánky",弱い雪
86,"Moderate or heavy snow showers",Regnbyger,"Chutes de neige","Rovesci nevosi moderati o pesanti",Schneeschauer,"Matige sneeuwbuien","Chubascos de nieve moderados ","Moderat eller kraftig snøvær","Måttliga eller kraftiga snöbyar","Orta siddette veya siddetli saganak kar","Умерен или силен продължителен снеговалеж","Mírné nebo silné snehové prehánky","Közepes erosségu vagy heves hózivatar","Umiarkowane lub silne opady sniegu","Averse de zapada moderate sau puternice","Кратковременный снег/сильный снег","Mierne alebo silné snehové prehánky",中程度または大雪
87,"Light showers of ice pellets",Isslag,"Pluie verglaçante","Grandinata leggera",Schneeregen,"Natte sneeuw","Lluvia helada","Lette haglbyger","Lätta hagelskurar","Hafif siddette saganak buz taneleri","Слаба продължителна градушка","Slabé zmrzlé deštové prehánky","Enyhe jeges daraeso","Lekkie opady gradu","Averse de granule de gheata slabe","Кратковременный небольшой ледяной дождь","Slabé prehánky zmrznutého dažda",弱い凍雨
88,"Moderate or heavy showers of ice pellets",Isslag,"Pluie verglaçante","Grandinata moderata o intensa",Schneeregen,"Natte sneeuw","Lluvia helada","Moderate eller kraftige haglbyger","Måttliga eller kraftiga hagelskurar","Orta siddette veya siddetli saganak buz taneleri","Умерена или силна продължителна градушка","Mírné nebo silné zmrzlé deštové prehánky","Közepes erosségu vagy viharos jeges daraeso","Umiarkowane lub silne opady gradu","Averse de granule de gheata moderate sau puternice","Кратковременные ледяные ливни","Mierne alebo silné prehánky zmrznutého dažda",中程度または強い凍雨
91,"Patchy light rain with thunder","Delvist overskyet med regn og risiko for torden","Pluies orageuses","Piogge deboli sparse e tuoni",Regen/Gewitter,Regen/donder,"Parcialmente nuboso con lluvias y riesgo de tormentas","Spredte lette regnbyger med torden","Spridda skurar av lätt regn med åska","Yer yer gök gürültülü hafif siddette yagmur","Слаб дъжд с гръмотевици на места","Ojedinele slabý déšt s bourkou","Elszórtan enyhe zivatar villámlással","Przelotne lekkie opady deszczu z piorunami","Pe alocuri, ploi slabe cu tunete","Местами небольшой дождь с грозой","Slabá lokálna búrka",所により雷雨
92,"Moderate or heavy rain with thunder","Skyet med regn og risiko for torden","Pluies orageuses","Piogge forti o moderate con tuoni",Regen/Gewitter,Regen/donder,"Nuboso con lluvias y riesgo de tormentas","Moderate eller kraftige regnbyger med torden","Måttligt eller kraftigt regn med åska","Gök gürültülü orta siddette veya siddetli yagmur","Умерен или силен дъжд с гръмотевици на места","Mírný nebo silný déšt s bourkou","Közepesen eros vagy heves zivatar villámlással","Umiarkowane lub silne opady deszczu z piorunami","Ploaie moderata sau puternica cu tunete","Дождь/ливень с грозой","Mierna alebo silná búrka",中程度または強い雷雨
93,"Patchy light snow with thunder","Delvist overskyet med sne eller slud og risiko for torden","Grêle/neige orageuse","Nevicate leggere e sparse con tuoni",Winterlich/Gewitter,Winterachtig/donder,"Parcialmente nuboso con aguanieve o nieve y riesgo de tormentas ","Spredte lette snøbyger med torden","Spridda lätta snöbyar med åska","Yer yer gök gürültülü hafif siddette kar","Слаб сняг с гръмотевици на места","Ojedinele slabé snežení s bourkou","Elszórtan enyhe havazás villámlással","Przelotne lekkie opady sniegu z piorunami","Pe alocuri, zapada slaba cu tunete","Местами небольшой снег с грозой","Slabá lokálna snehová búrka",所により弱い雷雪
94,"Moderate or heavy snow with thunder","Skyet med slud eller sne og risiko for torden","Grêle/Neige orageuse","Rovesci nevosi moderati o forti con tuoni",Winterlich/Gewitter,Winterachtig/donder,"Nuboso con aguanieve o nieve y riesgo de tormentas","Moderate eller kraftige snøbyger med torden","Måttliga eller kraftiga snöbyar med åska","Gök gürültülü orta siddette veya siddetli kar","Умерен или силен сняг с гръмотевици на места","Mírné nebo silné snežení s bourkou","Közepesen eros vagy heves havazás villámlással","Umiarkowane lub silne opady sniegu z piorunami","Zapada moderata sau puternica cu tunete","Снег/сильный снег с грозой","Mierna alebo silná snehová búrka",中程度または強い雷雪
